file,binary,rep,instructions,task_clock_ms,rc
a16absidx.a16,prefix,2,13261441,14.22,0
a16absidx.a16,postfix,2,13245423,14.87,0
a16absidx.a8,prefix,2,13264433,14.06,0
a16absidx.a8,postfix,2,13322068,14.94,0
a16add.a16,prefix,2,14170574,15.43,0
a16add.a16,postfix,2,14086021,16.80,0
a16add.a8,prefix,2,14053925,15.01,0
a16add.a8,postfix,2,14055212,14.56,0
a16ashift.a16,prefix,2,14678992,14.91,0
a16ashift.a16,postfix,2,14719681,14.76,0
a16ashift.a8,prefix,2,14652023,15.08,0
a16ashift.a8,postfix,2,14657065,14.87,0
a16ashift8.a16,prefix,2,21637512,17.65,0
a16ashift8.a16,postfix,2,21664919,20.78,0
a16ashift8.a8,prefix,2,21725931,17.35,0
a16ashift8.a8,postfix,2,21663597,17.14,0
a16bit.a16,prefix,2,15610118,15.14,0
a16bit.a16,postfix,2,15602940,14.70,0
a16bit.a8,prefix,2,15634146,15.53,0
a16bit.a8,postfix,2,15688745,15.25,0
a16bitchain.a16,prefix,2,19354750,17.19,0
a16bitchain.a16,postfix,2,19376980,16.71,0
a16bitchain.a8,prefix,2,19315380,16.33,0
a16bitchain.a8,postfix,2,19262296,20.32,0
a16call.a16,prefix,2,18516384,16.68,0
a16call.a16,postfix,2,18539528,16.73,0
a16call.a8,prefix,2,18452645,22.52,0
a16call.a8,postfix,2,18534175,17.97,0
a16chain.a16,prefix,2,14805190,16.07,0
a16chain.a16,postfix,2,14916036,15.21,0
a16chain.a8,prefix,2,14821284,15.04,0
a16chain.a8,postfix,2,14787214,14.85,0
a16chainimm.a16,prefix,2,18433185,15.81,0
a16chainimm.a16,postfix,2,18485357,21.49,0
a16chainimm.a8,prefix,2,18482012,22.41,0
a16chainimm.a8,postfix,2,18461249,24.03,0
a16chainld.a16,prefix,2,15561143,21.20,0
a16chainld.a16,postfix,2,15621553,15.14,0
a16chainld.a8,prefix,2,15622325,15.77,0
a16chainld.a8,postfix,2,15581754,16.10,0
a16cmp.a16,prefix,2,23188627,17.82,0
a16cmp.a16,postfix,2,23285195,17.68,0
a16cmp.a8,prefix,2,23254638,19.99,0
a16cmp.a8,postfix,2,23274959,21.21,0
a16cmpaudit.a16,prefix,2,673320253,235.16,0
a16cmpaudit.a16,postfix,2,683264749,239.00,0
a16cmpaudit.a8,prefix,2,673153858,195.43,0
a16cmpaudit.a8,postfix,2,682948784,195.56,0
a16cmpidx.a16,prefix,2,40306195,25.15,0
a16cmpidx.a16,postfix,2,40657119,22.93,0
a16cmpidx.a8,prefix,2,40269292,22.84,0
a16cmpidx.a8,postfix,2,40618426,24.01,0
a16copy.a16,prefix,2,14291359,14.64,0
a16copy.a16,postfix,2,14279727,15.15,0
a16copy.a8,prefix,2,14263967,14.71,0
a16copy.a8,postfix,2,14271822,18.58,0
a16eq.a16,prefix,2,18083432,18.07,0
a16eq.a16,postfix,2,18138445,16.67,0
a16eq.a8,prefix,2,18116134,16.24,0
a16eq.a8,postfix,2,18115446,16.40,0
a16eqval.a16,prefix,2,17875935,16.29,0
a16eqval.a16,postfix,2,17897954,26.19,0
a16eqval.a8,prefix,2,17809753,18.03,0
a16eqval.a8,postfix,2,17857719,16.92,0
a16eqvalc.a16,prefix,2,19956416,16.81,0
a16eqvalc.a16,postfix,2,20031948,17.15,0
a16eqvalc.a8,prefix,2,19872140,18.61,0
a16eqvalc.a8,postfix,2,20026173,21.26,0
a16eqvalg.a16,prefix,2,22676420,19.25,0
a16eqvalg.a16,postfix,2,22800209,17.97,0
a16eqvalg.a8,prefix,2,22720451,17.81,0
a16eqvalg.a8,postfix,2,22835594,18.60,0
a16eqvalmg.a16,prefix,2,20387906,17.79,0
a16eqvalmg.a16,postfix,2,20509487,17.63,0
a16eqvalmg.a8,prefix,2,20330150,30.89,0
a16eqvalmg.a8,postfix,2,20413956,30.48,0
a16eqvalp.a16,prefix,2,19729693,26.96,0
a16eqvalp.a16,postfix,2,19812500,19.09,0
a16eqvalp.a8,prefix,2,19700236,28.37,0
a16eqvalp.a8,postfix,2,19810625,22.81,0
a16eqvalz.a16,prefix,2,15165621,17.87,0
a16eqvalz.a16,postfix,2,15198076,15.92,0
a16eqvalz.a8,prefix,2,15133904,15.47,0
a16eqvalz.a8,postfix,2,15077270,15.18,0
a16frameidx.a16,prefix,2,33058415,23.46,0
a16frameidx.a16,postfix,2,32971939,22.31,0
a16frameidx.a8,prefix,2,33104027,21.47,0
a16frameidx.a8,postfix,2,33028359,22.88,0
