# gcc c-torture/execute tests that do NOT build a DEFAULT SNES ROM (gcc-14.2.0).
# Generated by tools/torture_filter.py --opt -Os.
# test	reason	diagnostic
align-nest.c	compile-error	vendor/c-torture/execute/align-nest.c:12:9: error: fields must have a constant size: 'variable length array in structure' extension will never be supported
bcp-1.c	undefined-symbol	ld.lld: error: undefined symbol: bad2 (+3 more)
bitfld-4.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
bitfld-6.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
bitfld-7.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
bitops-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
bswap-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
bswap-2.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
bswap-3.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
built-in-setjmp.c	compile-error	vendor/c-torture/execute/built-in-setjmp.c:14:3: error: __builtin_longjmp is not supported for the current target
builtin-prefetch-1.c	link-other	ld.lld: error: Invalid call record (Producer: 'LLVM23.0.0git' Reader: 'LLVM 23.0.0git')
builtin-prefetch-2.c	link-other	ld.lld: error: Invalid call record (Producer: 'LLVM23.0.0git' Reader: 'LLVM 23.0.0git')
builtin-prefetch-3.c	link-other	ld.lld: error: Invalid call record (Producer: 'LLVM23.0.0git' Reader: 'LLVM 23.0.0git')
builtin-prefetch-4.c	link-other	ld.lld: error: Invalid call record (Producer: 'LLVM23.0.0git' Reader: 'LLVM 23.0.0git')
builtin-prefetch-5.c	link-other	ld.lld: error: Invalid call record (Producer: 'LLVM23.0.0git' Reader: 'LLVM 23.0.0git')
builtin-prefetch-6.c	link-other	ld.lld: error: Invalid call record (Producer: 'LLVM23.0.0git' Reader: 'LLVM 23.0.0git')
cmpdi-1.c	compile-error	vendor/c-torture/execute/cmpdi-1.c:6:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
cmpsf-1.c	compile-error	vendor/c-torture/execute/cmpsf-1.c:8:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
cmpsi-1.c	compile-error	vendor/c-torture/execute/cmpsi-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
cmpsi-2.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
comp-goto-2.c	compile-error	vendor/c-torture/execute/comp-goto-2.c:14:3: error: parameter 'a' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
dbra-1.c	compile-error	vendor/c-torture/execute/dbra-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
divmod-1.c	compile-error	vendor/c-torture/execute/divmod-1.c:3:1: error: type specifier missing, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
enum-3.c	compile-error	vendor/c-torture/execute/enum-3.c:21:20: error: invalid operands to binary expression ('void' and 'int')
fprintf-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
fprintf-2.c	undefined-symbol	ld.lld: error: undefined symbol: __osmaperrno (+5 more)
fprintf-chk-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
frame-address.c	link-other	mos-clang: error: ld.lld command failed with exit code 1 (use -v to see invocation)
inst-check.c	compile-error	vendor/c-torture/execute/inst-check.c:5:3: error: parameter 'm' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
int-compare.c	compile-error	vendor/c-torture/execute/int-compare.c:5:8: error: parameter 'b' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
ipa-sra-2.c	dg-require-unsupported	requires int32plus (16-bit-int target cannot satisfy)
loop-2.c	compile-error	vendor/c-torture/execute/loop-2.c:5:4: error: parameter 'b' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
loop-2d.c	compile-error	vendor/c-torture/execute/loop-2d.c:5:4: error: parameter 'b' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
loop-2f.c	compile-error	vendor/c-torture/execute/loop-2f.c:6:10: fatal error: 'sys/types.h' file not found
loop-2g.c	compile-error	vendor/c-torture/execute/loop-2g.c:6:10: fatal error: 'sys/types.h' file not found
loop-3.c	compile-error	vendor/c-torture/execute/loop-3.c:7:4: error: parameter 'i' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
loop-3b.c	compile-error	vendor/c-torture/execute/loop-3b.c:7:4: error: parameter 'i' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
loop-3c.c	compile-error	vendor/c-torture/execute/loop-3c.c:7:4: error: parameter 'm' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
lto-tbaa-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
memchr-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
memcpy-1.c	compile-error	vendor/c-torture/execute/memcpy-1.c:24:21: error: 'src' declared as an array with a negative size
memset-4.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
minmaxcmp-1.c	undefined-symbol	ld.lld: error: undefined symbol: __putchar
mod-1.c	compile-error	vendor/c-torture/execute/mod-1.c:3:7: error: parameter 'y' was not declared, defaults to 'int'; ISO C99 and later do not support implicit int [-Wimplicit-int]
multi-ix.c	region-overflow	ld.lld: error: section '.noinit' will not fit in region 'ram': overflowed by 32322 bytes
nest-align-1.c	compile-error	vendor/c-torture/execute/nest-align-1.c:26:5: error: function definition is not allowed here
nest-stdar-1.c	compile-error	vendor/c-torture/execute/nest-stdar-1.c:10:5: error: function definition is not allowed here
nestfunc-1.c	compile-error	vendor/c-torture/execute/nestfunc-1.c:20:5: error: function definition is not allowed here
nestfunc-2.c	compile-error	vendor/c-torture/execute/nestfunc-2.c:17:5: error: function definition is not allowed here
nestfunc-3.c	compile-error	vendor/c-torture/execute/nestfunc-3.c:16:5: error: function definition is not allowed here
nestfunc-5.c	compile-error	vendor/c-torture/execute/nestfunc-5.c:11:3: error: function definition is not allowed here
